2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-19,2022-05-26,2022-06-02,2022-06-09,2022-06-16,2022-06-23,2022-06-30,2022-07-07,2022-07-14,2022-07-21,2022-07-28,2022-08-04,2022-08-11,2022-08-18,2022-08-25,2022-09-01,2022-09-08,2022-09-15,2022-09-22,2022-09-29,2022-10-06,2022-10-13,2022-10-20,2022-10-27,2022-11-03,2022-11-10,2022-11-17,2022-11-24
"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Sacrifice---The Weeknd,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Heat Waves---Glass Animals,Heat Waves---Glass Animals,Heat Waves---Glass Animals,Heat Waves---Glass Animals,As It Was---Harry Styles,First Class---Jack Harlow,As It Was---Harry Styles,As It Was---Harry Styles,As It Was---Harry Styles,First Class---Jack Harlow,N95---Kendrick Lamar,As It Was---Harry Styles,As It Was---Harry Styles,Running Up That Hill (A Deal With God)---Kate Bush,Running Up That Hill (A Deal With God)---Kate Bush,Glimpse of Us---Joji,Glimpse of Us---Joji,Running Up That Hill (A Deal With God)---Kate Bush,Running Up That Hill (A Deal With God)---Kate Bush,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,"Unholy (feat. Kim Petras)---Sam Smith, Kim Petras","Unholy (feat. Kim Petras)---Sam Smith, Kim Petras","Unholy (feat. Kim Petras)---Sam Smith, Kim Petras","Unholy (feat. Kim Petras)---Sam Smith, Kim Petras",Anti-Hero---Taylor Swift,Anti-Hero---Taylor Swift,"Rich Flex---Drake, 21 Savage","Rich Flex---Drake, 21 Savage","Rich Flex---Drake, 21 Savage"
Heat Waves---Glass Animals,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","pushin P (feat. Young Thug)---Gunna, Future, Young Thug",Heat Waves---Glass Animals,Heat Waves---Glass Animals,Heat Waves---Glass Animals,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Super Gremlin---Kodak Black,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Heat Waves---Glass Animals,As It Was---Harry Styles,First Class---Jack Harlow,First Class---Jack Harlow,First Class---Jack Harlow,Moscow Mule---Bad Bunny,"Die Hard---Kendrick Lamar, Blxst, Amanda Reifer",Late Night Talking---Harry Styles,Late Night Talking---Harry Styles,As It Was---Harry Styles,Glimpse of Us---Joji,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Running Up That Hill (A Deal With God)---Kate Bush,Glimpse of Us---Joji,Glimpse of Us---Joji,Running Up That Hill (A Deal With God)---Kate Bush,Running Up That Hill (A Deal With God)---Kate Bush,As It Was---Harry Styles,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Super Freaky Girl---Nicki Minaj,Super Freaky Girl---Nicki Minaj,"Me Porto Bonito---Bad Bunny, Chencho Corleone",As It Was---Harry Styles,"Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone",Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Bad Habit---Steve Lacy,Lavender Haze---Taylor Swift,Lavender Haze---Taylor Swift,"Major Distribution---Drake, 21 Savage",Anti-Hero---Taylor Swift,Anti-Hero---Taylor Swift
"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Gasoline---The Weeknd,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,"pushin P (feat. Young Thug)---Gunna, Future, Young Thug",Nail Tech---Jack Harlow,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Heat Waves---Glass Animals,Don't Think Jesus---Morgan Wallen,Heat Waves---Glass Animals,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",As It Was---Harry Styles,United In Grief---Kendrick Lamar,Music For a Sushi Restaurant---Harry Styles,Running Up That Hill (A Deal With God)---Kate Bush,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",As It Was---Harry Styles,As It Was---Harry Styles,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",As It Was---Harry Styles,As It Was---Harry Styles,As It Was---Harry Styles,As It Was---Harry Styles,Running Up That Hill (A Deal With God)---Kate Bush,As It Was---Harry Styles,"Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone",As It Was---Harry Styles,"Me Porto Bonito---Bad Bunny, Chencho Corleone",As It Was---Harry Styles,As It Was---Harry Styles,As It Was---Harry Styles,Tití Me Preguntó---Bad Bunny,Romantic Homicide---d4vd,Romantic Homicide---d4vd,Maroon---Taylor Swift,Midnight Rain---Taylor Swift,"Pussy & Millions (feat. Travis Scott)---Drake, 21 Savage, Travis Scott",Bad Habit---Steve Lacy,Bad Habit---Steve Lacy
"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Out of Time---The Weeknd,Heat Waves---Glass Animals,"Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow","Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow",Heat Waves---Glass Animals,Super Gremlin---Kodak Black,"pushin P (feat. Young Thug)---Gunna, Future, Young Thug","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Something In The Way---Nirvana,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Super Gremlin---Kodak Black,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Heat Waves---Glass Animals,Thousand Miles---The Kid LAROI,PUFFIN ON ZOOTIEZ---Future,Tití Me Preguntó---Bad Bunny,"Father Time (feat. Sampha)---Kendrick Lamar, Sampha",Matilda---Harry Styles,First Class---Jack Harlow,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch","Me Porto Bonito---Bad Bunny, Chencho Corleone",Falling Back---Drake,As It Was---Harry Styles,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone",Running Up That Hill (A Deal With God)---Kate Bush,As It Was---Harry Styles,As It Was---Harry Styles,Super Freaky Girl---Nicki Minaj,Super Freaky Girl---Nicki Minaj,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,"Me Porto Bonito---Bad Bunny, Chencho Corleone",As It Was---Harry Styles,As It Was---Harry Styles,Something in the Orange---Zach Bryan,Midnight Rain---Taylor Swift,Maroon---Taylor Swift,Anti-Hero---Taylor Swift,Midnight Rain---Taylor Swift,"Unholy (feat. Kim Petras)---Sam Smith, Kim Petras"
Super Gremlin---Kodak Black,Is There Someone Else?---The Weeknd,Surface Pressure---Jessica Darrow,Heat Waves---Glass Animals,Heat Waves---Glass Animals,Cigarettes---Juice WRLD,"Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow",Super Gremlin---Kodak Black,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",good 4 u---Olivia Rodrigo,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","I'M ON ONE (feat. Drake)---Future, Drake",Después de la Playa---Bad Bunny,As It Was---Harry Styles,Daylight---Harry Styles,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Late Night Talking---Harry Styles,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Running Up That Hill (A Deal With God)---Kate Bush,"Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone","Me Porto Bonito---Bad Bunny, Chencho Corleone",Glimpse of Us---Joji,Glimpse of Us---Joji,BREAK MY SOUL---Beyoncé,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,Super Freaky Girl---Nicki Minaj,Romantic Homicide---d4vd,Romantic Homicide---d4vd,Romantic Homicide---d4vd,Tití Me Preguntó---Bad Bunny,As It Was---Harry Styles,"Snow On The Beach (feat. Lana Del Rey)---Taylor Swift, Lana Del Rey",Karma---Taylor Swift,"On BS---Drake, 21 Savage",Lavender Haze---Taylor Swift,Lavender Haze---Taylor Swift
abcdefu---GAYLE,Heat Waves---Glass Animals,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","Sweetest Pie---Megan Thee Stallion, Dua Lipa","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Nail Tech---Jack Harlow,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Heat Waves---Glass Animals,"Me Porto Bonito---Bad Bunny, Chencho Corleone","Silent Hill---Kendrick Lamar, Kodak Black",Grapejuice---Harry Styles,About Damn Time---Lizzo,"Me Porto Bonito---Bad Bunny, Chencho Corleone",First Class---Jack Harlow,Sticky---Drake,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Tití Me Preguntó---Bad Bunny,"STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",Running Up That Hill (A Deal With God)---Kate Bush,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Romantic Homicide---d4vd,Super Freaky Girl---Nicki Minaj,Super Freaky Girl---Nicki Minaj,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Something in the Orange---Zach Bryan,Tití Me Preguntó---Bad Bunny,"You're On Your Own, Kid---Taylor Swift","You're On Your Own, Kid---Taylor Swift","Spin Bout U---Drake, 21 Savage","Unholy (feat. Kim Petras)---Sam Smith, Kim Petras",Midnight Rain---Taylor Swift
Easy On Me---Adele,How Do I Make You Love Me?---The Weeknd,"Eazy---The Game, Kanye West","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Nail Tech---Jack Harlow,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Sometimes---Juice WRLD,Soy El Unico---Yahritza Y Su Esencia,In My Head---Lil Tjay,good 4 u---Olivia Rodrigo,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",Woman---Doja Cat,About Damn Time---Lizzo,About Damn Time---Lizzo,Rich Spirit---Kendrick Lamar,Little Freak---Harry Styles,Music For a Sushi Restaurant---Harry Styles,First Class---Jack Harlow,Tití Me Preguntó---Bad Bunny,"Me Porto Bonito---Bad Bunny, Chencho Corleone",BREAK MY SOUL---Beyoncé,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Bad Habit---Steve Lacy,Tití Me Preguntó---Bad Bunny,Tití Me Preguntó---Bad Bunny,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Running Up That Hill (A Deal With God)---Kate Bush,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",I Ain't Worried---OneRepublic,I Ain't Worried---OneRepublic,Shut Down---BLACKPINK,Tití Me Preguntó---Bad Bunny,Super Freaky Girl---Nicki Minaj,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Poland---Lil Yachty,Karma---Taylor Swift,"Snow On The Beach (feat. Lana Del Rey)---Taylor Swift, Lana Del Rey","Privileged Rappers---Drake, 21 Savage","Major Distribution---Drake, 21 Savage",Just Wanna Rock---Lil Uzi Vert
Surface Pressure---Jessica Darrow,Fingers Crossed---Lauren Spencer Smith,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",abcdefu---GAYLE,abcdefu---GAYLE,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","City of Gods---Fivio Foreign, Kanye West, Alicia Keys","Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow","Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow",Nail Tech---Jack Harlow,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",Something In The Way---Nirvana,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",good 4 u---Olivia Rodrigo,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",712PM---Future,"Party---Bad Bunny, Rauw Alejandro",First Class---Jack Harlow,Satellite---Harry Styles,Matilda---Harry Styles,About Damn Time---Lizzo,Late Night Talking---Harry Styles,Texts Go Green---Drake,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,About Damn Time---Lizzo,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Glimpse of Us---Joji,Glimpse of Us---Joji,Glimpse of Us---Joji,Glimpse of Us---Joji,Glimpse of Us---Joji,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","I'm Good (Blue)---David Guetta, Bebe Rexha",Something in the Orange---Zach Bryan,Super Freaky Girl---Nicki Minaj,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Vigilante Shit---Taylor Swift,Bejeweled---Taylor Swift,"Circo Loco---Drake, 21 Savage",Maroon---Taylor Swift,Romantic Homicide---d4vd
"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",Surface Pressure---Jessica Darrow,abcdefu---GAYLE,I Love You So---The Walters,I Love You So---The Walters,"Do We Have A Problem?---Nicki Minaj, Lil Baby",I Love You So---The Walters,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",I Love You So---The Walters,"pushin P (feat. Young Thug)---Gunna, Future, Young Thug","pushin P (feat. Young Thug)---Gunna, Future, Young Thug",good 4 u---Olivia Rodrigo,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,Super Gremlin---Kodak Black,good 4 u---Olivia Rodrigo,I'M DAT N****---Future,Dua Lipa---Jack Harlow,Worldwide Steppers---Kendrick Lamar,Cinema---Harry Styles,"True Love---Kanye West, XXXTENTACION",Tití Me Preguntó---Bad Bunny,About Damn Time---Lizzo,Massive---Drake,First Class---Jack Harlow,First Class---Jack Harlow,Master of Puppets (Remastered)---Metallica,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,About Damn Time---Lizzo,ALIEN SUPERSTAR---Beyoncé,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Running Up That Hill (A Deal With God)---Kate Bush,Glimpse of Us---Joji,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",I Ain't Worried---OneRepublic,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","I'm Good (Blue)---David Guetta, Bebe Rexha","I'm Good (Blue)---David Guetta, Bebe Rexha","Bye Bye---Marshmello, Juice WRLD",Question...?---Taylor Swift,"Unholy (feat. Kim Petras)---Sam Smith, Kim Petras",BackOutsideBoyz---Drake,"Pussy & Millions (feat. Travis Scott)---Drake, 21 Savage, Travis Scott",Rockin' Around The Christmas Tree---Brenda Lee
good 4 u---Olivia Rodrigo,Super Gremlin---Kodak Black,Sacrifice---The Weeknd,Easy On Me---Adele,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",abcdefu---GAYLE,abcdefu---GAYLE,I Love You So---The Walters,I Love You So---The Walters,Boyfriend---Dove Cameron,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Woman---Doja Cat,Ghost---Justin Bieber,Right On---Lil Baby,Woman---Doja Cat,No Role Modelz---J. Cole,"KEEP IT BURNIN (feat. Kanye West)---Future, Kanye West",Un Ratito---Bad Bunny,"We Cry Together---Kendrick Lamar, Taylour Paige",Keep Driving---Harry Styles,Tití Me Preguntó---Bad Bunny,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","Cash In Cash Out---Pharrell Williams, 21 Savage, Tyler, The Creator",Tití Me Preguntó---Bad Bunny,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,About Damn Time---Lizzo,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,CUFF IT---Beyoncé,BREAK MY SOUL---Beyoncé,Efecto---Bad Bunny,Pink Venom---BLACKPINK,Efecto---Bad Bunny,Running Up That Hill (A Deal With God)---Kate Bush,"I'm Good (Blue)---David Guetta, Bebe Rexha","I'm Good (Blue)---David Guetta, Bebe Rexha",I Ain't Worried---OneRepublic,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",I Ain't Worried---OneRepublic,Super Freaky Girl---Nicki Minaj,Bejeweled---Taylor Swift,Vigilante Shit---Taylor Swift,"Broke Boys---Drake, 21 Savage",Karma---Taylor Swift,Maroon---Taylor Swift
"Kiss Me More (feat. SZA)---Doja Cat, SZA","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Fingers Crossed---Lauren Spencer Smith,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",abcdefu---GAYLE,abcdefu---GAYLE,Something In The Way---Nirvana,I Love You So---The Walters,I Love You So---The Walters,I Love You So---The Walters,Woman---Doja Cat,Woman---Doja Cat,Ghost---Justin Bieber,Super Gremlin---Kodak Black,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","Tarot---Bad Bunny, Jhayco",Count Me Out---Kendrick Lamar,Daydreaming---Harry Styles,Daylight---Harry Styles,"Ojitos Lindos---Bad Bunny, Bomba Estéreo","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",A Keeper---Drake,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Heat Waves---Glass Animals,First Class---Jack Harlow,Heat Waves---Glass Animals,Heat Waves---Glass Animals,I'M THAT GIRL---Beyoncé,Efecto---Bad Bunny,You Proof---Morgan Wallen,Efecto---Bad Bunny,I Ain't Worried---OneRepublic,Efecto---Bad Bunny,Glimpse of Us---Joji,You Proof---Morgan Wallen,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",I Ain't Worried---OneRepublic,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Labyrinth---Taylor Swift,Question...?---Taylor Swift,"Hours In Silence---Drake, 21 Savage","You're On Your Own, Kid---Taylor Swift",Karma---Taylor Swift
Need to Know---Doja Cat,Take My Breath---The Weeknd,Easy On Me---Adele,Need to Know---Doja Cat,Need to Know---Doja Cat,I Love You So---The Walters,"Still D.R.E.---Dr. Dre, Snoop Dogg","Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","I’m Tired (with Zendaya) - Bonus Track---Labrinth, Zendaya",Boyfriend---Dove Cameron,Woman---Doja Cat,Ghost---Justin Bieber,When You're Gone---Shawn Mendes,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",No Role Modelz---J. Cole,Ghost---Justin Bieber,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Yo No Soy Celoso---Bad Bunny,"Savior---Kendrick Lamar, Baby Keem, Sam Dew",Love Of My Life---Harry Styles,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Heat Waves---Glass Animals,"Ojitos Lindos---Bad Bunny, Bomba Estéreo","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",About Damn Time---Lizzo,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",About Damn Time---Lizzo,Late Night Talking---Harry Styles,I Ain't Worried---OneRepublic,"ENERGY (feat. Beam)---Beyoncé, BEAM",Heat Waves---Glass Animals,I Ain't Worried---OneRepublic,I Ain't Worried---OneRepublic,You Proof---Morgan Wallen,Late Night Talking---Harry Styles,You Proof---Morgan Wallen,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,Die For You---The Weeknd,"I'm Good (Blue)---David Guetta, Bebe Rexha",Mastermind---Taylor Swift,Bad Habit---Steve Lacy,Lavender Haze---Taylor Swift,Bejeweled---Taylor Swift,All I Want for Christmas Is You---Mariah Carey
